Frequency (Hz), Magnitude (dB)
0.000000, -0.036104
11.718750, -0.035901
23.437500, -0.035293
35.156250, -0.034286
46.875000, -0.032893
58.593750, -0.031128
70.312500, -0.029011
82.031250, -0.026566
93.750000, -0.023819
105.468750, -0.020801
117.187500, -0.017547
128.906250, -0.014092
140.625000, -0.010474
152.343750, -0.006735
164.062500, -0.002917
175.781250, 0.000938
187.500000, 0.004785
199.218750, 0.008581
210.937500, 0.012282
222.656250, 0.015845
234.375000, 0.019230
246.093750, 0.022395
257.812500, 0.025304
269.531250, 0.027921
281.250000, 0.030215
292.968750, 0.032156
304.687500, 0.033720
316.406250, 0.034886
328.125000, 0.035637
339.843750, 0.035960
351.562500, 0.035850
363.281250, 0.035302
375.000000, 0.034320
386.718750, 0.032912
398.437500, 0.031090
410.156250, 0.028872
421.875000, 0.026282
433.593750, 0.023348
445.312500, 0.020101
457.031250, 0.016580
468.750000, 0.012826
480.468750, 0.008884
492.187500, 0.004802
503.906250, 0.000633
515.625000, -0.003570
527.343750, -0.007751
539.062500, -0.011852
550.781250, -0.015815
562.500000, -0.019582
574.218750, -0.023097
585.937500, -0.026304
597.656250, -0.029150
609.375000, -0.031584
621.093750, -0.033561
632.812500, -0.035040
644.531250, -0.035984
656.250000, -0.036366
667.968750, -0.036162
679.687500, -0.035359
691.406250, -0.033951
703.125000, -0.031943
714.843750, -0.029349
726.562500, -0.026193
738.281250, -0.022510
750.000000, -0.018349
761.718750, -0.013767
773.437500, -0.008836
785.156250, -0.003638
796.875000, 0.001730
808.593750, 0.007161
820.312500, 0.012535
832.031250, 0.017719
843.750000, 0.022569
855.468750, 0.026929
867.187500, 0.030633
878.906250, 0.033502
890.625000, 0.035348
902.343750, 0.035972
914.062500, 0.035168
925.781250, 0.032717
937.500000, 0.028397
949.218750, 0.021975
960.937500, 0.013211
972.656250, 0.001861
984.375000, -0.012328
996.093750, -0.029611
1007.812500, -0.050250
1019.531250, -0.074509
1031.250000, -0.102659
1042.968750, -0.134971
1054.687500, -0.171719
1066.406250, -0.213182
1078.125000, -0.259639
1089.843750, -0.311370
1101.562500, -0.368659
1113.281250, -0.431789
1125.000000, -0.501045
1136.718750, -0.576713
1148.437500, -0.659080
1160.156250, -0.748433
1171.875000, -0.845061
1183.593750, -0.949252
1195.312500, -1.061295
1207.031250, -1.181481
1218.750000, -1.310101
1230.468750, -1.447443
1242.187500, -1.593801
1253.906250, -1.749465
1265.625000, -1.914727
1277.343750, -2.089877
1289.062500, -2.275207
1300.781250, -2.471004
1312.500000, -2.677558
1324.218750, -2.895152
1335.937500, -3.124068
1347.656250, -3.364580
1359.375000, -3.616957
1371.093750, -3.881459
1382.812500, -4.158333
1394.531250, -4.447808
1406.250000, -4.750098
1417.968750, -5.065388
1429.687500, -5.393833
1441.406250, -5.735548
1453.125000, -6.090601
1464.843750, -6.458998
1476.562500, -6.840671
1488.281250, -7.235465
1500.000000, -7.643112
1511.718750, -8.063212
1523.437500, -8.495207
1535.156250, -8.938343
1546.875000, -9.391641
1558.593750, -9.853849
1570.312500, -10.323398
1582.031250, -10.798351
1593.750000, -11.276346
1605.468750, -11.754546
1617.187500, -12.229584
1628.906250, -12.697522
1640.625000, -13.153828
1652.343750, -13.593374
1664.062500, -14.010481
1675.781250, -14.399003
1687.500000, -14.752481
1699.218750, -15.064359
1710.937500, -15.328259
1722.656250, -15.538315
1734.375000, -15.689521
1746.093750, -15.778070
1757.812500, -15.801636
1769.531250, -15.759550
1781.250000, -15.652856
1792.968750, -15.484231
1804.687500, -15.257775
1816.406250, -14.978718
1828.125000, -14.653075
1839.843750, -14.287298
1851.562500, -13.887951
1863.281250, -13.461450
1875.000000, -13.013859
1886.718750, -12.550751
1898.437500, -12.077134
1910.156250, -11.597420
1921.875000, -11.115427
1933.593750, -10.634411
1945.312500, -10.157110
1957.031250, -9.685797
1968.750000, -9.222330
1980.468750, -8.768214
1992.187500, -8.324644
2003.906250, -7.892554
2015.625000, -7.472657
2027.343750, -7.065483
2039.062500, -6.671405
2050.781250, -6.290670
2062.500000, -5.923419
2074.218750, -5.569707
2085.937500, -5.229518
2097.656250, -4.902776
2109.375000, -4.589362
2121.093750, -4.289115
2132.812500, -4.001846
2144.531250, -3.727341
2156.250000, -3.465367
2167.968750, -3.215674
2179.687500, -2.978003
2191.406250, -2.752082
2203.125000, -2.537634
2214.843750, -2.334376
2226.562500, -2.142019
2238.281250, -1.960273
2250.000000, -1.788845
2261.718750, -1.627439
2273.437500, -1.475758
2285.156250, -1.333506
2296.875000, -1.200383
2308.593750, -1.076091
2320.312500, -0.960330
2332.031250, -0.852799
2343.750000, -0.753199
2355.468750, -0.661228
2367.187500, -0.576586
2378.906250, -0.498972
2390.625000, -0.428083
2402.343750, -0.363620
2414.062500, -0.305280
2425.781250, -0.252762
2437.500000, -0.205768
2449.218750, -0.163996
2460.937500, -0.127150
2472.656250, -0.094932
2484.375000, -0.067047
2496.093750, -0.043204
2507.812500, -0.023113
2519.531250, -0.006489
2531.250000, 0.006950
2542.968750, 0.017481
2554.687500, 0.025375
2566.406250, 0.030896
2578.125000, 0.034303
2589.843750, 0.035845
2601.562500, 0.035765
2613.281250, 0.034294
2625.000000, 0.031655
2636.718750, 0.028059
2648.437500, 0.023708
2660.156250, 0.018788
2671.875000, 0.013476
2683.593750, 0.007935
2695.312500, 0.002312
2707.031250, -0.003255
2718.750000, -0.008646
2730.468750, -0.013754
2742.187500, -0.018485
2753.906250, -0.022760
2765.625000, -0.026516
2777.343750, -0.029699
2789.062500, -0.032273
2800.781250, -0.034211
2812.500000, -0.035500
2824.218750, -0.036138
2835.937500, -0.036135
2847.656250, -0.035508
2859.375000, -0.034286
2871.093750, -0.032504
2882.812500, -0.030206
2894.531250, -0.027439
2906.250000, -0.024259
2917.968750, -0.020723
2929.687500, -0.016894
2941.406250, -0.012833
2953.125000, -0.008607
2964.843750, -0.004279
2976.562500, 0.000085
2988.281250, 0.004422
3000.000000, 0.008672
3011.718750, 0.012776
3023.437500, 0.016680
3035.156250, 0.020333
3046.875000, 0.023689
3058.593750, 0.026708
3070.312500, 0.029353
3082.031250, 0.031593
3093.750000, 0.033405
3105.468750, 0.034771
3117.187500, 0.035676
3128.906250, 0.036115
3140.625000, 0.036087
3152.343750, 0.035597
3164.062500, 0.034655
3175.781250, 0.033278
3187.500000, 0.031487
3199.218750, 0.029307
3210.937500, 0.026768
3222.656250, 0.023905
3234.375000, 0.020755
3246.093750, 0.017358
3257.812500, 0.013757
3269.531250, 0.009997
3281.250000, 0.006125
3292.968750, 0.002187
3304.687500, -0.001769
3316.406250, -0.005696
3328.125000, -0.009547
3339.843750, -0.013278
3351.562500, -0.016845
3363.281250, -0.020207
3375.000000, -0.023326
3386.718750, -0.026167
3398.437500, -0.028697
3410.156250, -0.030889
3421.875000, -0.032720
3433.593750, -0.034169
3445.312500, -0.035222
3457.031250, -0.035869
3468.750000, -0.036104
3480.468750, -0.035926
3492.187500, -0.035339
3503.906250, -0.034352
3515.625000, -0.032977
3527.343750, -0.031232
3539.062500, -0.029138
3550.781250, -0.026721
3562.500000, -0.024007
3574.218750, -0.021030
3585.937500, -0.017823
3597.656250, -0.014422
3609.375000, -0.010867
3621.093750, -0.007197
3632.812500, -0.003453
3644.531250, 0.000323
3656.250000, 0.004091
