Frequency (Hz), Magnitude (dB)
0.000000, -6.638000
11.718750, -6.623716
23.437500, -6.581092
35.156250, -6.510798
46.875000, -6.413921
58.593750, -6.291921
70.312500, -6.146576
82.031250, -5.979920
93.750000, -5.794174
105.468750, -5.591680
117.187500, -5.374836
128.906250, -5.146046
140.625000, -4.907665
152.343750, -4.661961
164.062500, -4.411090
175.781250, -4.157067
187.500000, -3.901756
199.218750, -3.646863
210.937500, -3.393931
222.656250, -3.144343
234.375000, -2.899329
246.093750, -2.659971
257.812500, -2.427212
269.531250, -2.201868
281.250000, -1.984634
292.968750, -1.776097
304.687500, -1.576744
316.406250, -1.386974
328.125000, -1.207100
339.843750, -1.037363
351.562500, -0.877936
363.281250, -0.728931
375.000000, -0.590404
386.718750, -0.462361
398.437500, -0.344761
410.156250, -0.237519
421.875000, -0.140513
433.593750, -0.053581
445.312500, 0.023472
457.031250, 0.090872
468.750000, 0.148880
480.468750, 0.197782
492.187500, 0.237897
503.906250, 0.269567
515.625000, 0.293162
527.343750, 0.309079
539.062500, 0.317735
550.781250, 0.319575
562.500000, 0.315062
574.218750, 0.304682
585.937500, 0.288940
597.656250, 0.268358
609.375000, 0.243474
621.093750, 0.214840
632.812500, 0.183018
644.531250, 0.148576
656.250000, 0.112089
667.968750, 0.074131
679.687500, 0.035273
691.406250, -0.003920
703.125000, -0.042899
714.843750, -0.081129
726.562500, -0.118098
738.281250, -0.153322
750.000000, -0.186347
761.718750, -0.216758
773.437500, -0.244179
785.156250, -0.268282
796.875000, -0.288784
808.593750, -0.305456
820.312500, -0.318125
832.031250, -0.326669
843.750000, -0.331025
855.468750, -0.331186
867.187500, -0.327199
878.906250, -0.319164
890.625000, -0.307231
902.343750, -0.291598
914.062500, -0.272506
925.781250, -0.250234
937.500000, -0.225095
949.218750, -0.197429
960.937500, -0.167602
972.656250, -0.135996
984.375000, -0.103005
996.093750, -0.069032
1007.812500, -0.034480
1019.531250, 0.000248
1031.250000, 0.034760
1042.968750, 0.068670
1054.687500, 0.101611
1066.406250, 0.133231
1078.125000, 0.163202
1089.843750, 0.191217
1101.562500, 0.216995
1113.281250, 0.240285
1125.000000, 0.260862
1136.718750, 0.278533
1148.437500, 0.293136
1160.156250, 0.304541
1171.875000, 0.312650
1183.593750, 0.317398
1195.312500, 0.318751
1207.031250, 0.316712
1218.750000, 0.311311
1230.468750, 0.302613
1242.187500, 0.290714
1253.906250, 0.275739
1265.625000, 0.257843
1277.343750, 0.237208
1289.062500, 0.214045
1300.781250, 0.188588
1312.500000, 0.161096
1324.218750, 0.131846
1335.937500, 0.101139
1347.656250, 0.069287
1359.375000, 0.036620
1371.093750, 0.003475
1382.812500, -0.029800
1394.531250, -0.062856
1406.250000, -0.095342
1417.968750, -0.126911
1429.687500, -0.157223
1441.406250, -0.185951
1453.125000, -0.212779
1464.843750, -0.237415
1476.562500, -0.259587
1488.281250, -0.279050
1500.000000, -0.295588
1511.718750, -0.309018
1523.437500, -0.319193
1535.156250, -0.326001
1546.875000, -0.329370
1558.593750, -0.329268
1570.312500, -0.325701
1582.031250, -0.318715
1593.750000, -0.308397
1605.468750, -0.294869
1617.187500, -0.278289
1628.906250, -0.258849
1640.625000, -0.236770
1652.343750, -0.212303
1664.062500, -0.185718
1675.781250, -0.157310
1687.500000, -0.127388
1699.218750, -0.096272
1710.937500, -0.064294
1722.656250, -0.031789
1734.375000, 0.000908
1746.093750, 0.033463
1757.812500, 0.065548
1769.531250, 0.096844
1781.250000, 0.127044
1792.968750, 0.155855
1804.687500, 0.183002
1816.406250, 0.208227
1828.125000, 0.231294
1839.843750, 0.251991
1851.562500, 0.270127
1863.281250, 0.285538
1875.000000, 0.298086
1886.718750, 0.307659
1898.437500, 0.314174
1910.156250, 0.317573
1921.875000, 0.317830
1933.593750, 0.314944
1945.312500, 0.308943
1957.031250, 0.299885
1968.750000, 0.287853
1980.468750, 0.272958
1992.187500, 0.255338
2003.906250, 0.235155
2015.625000, 0.212597
2027.343750, 0.187873
2039.062500, 0.161215
2050.781250, 0.132876
2062.500000, 0.103125
2074.218750, 0.072249
2085.937500, 0.040546
2097.656250, 0.008326
2109.375000, -0.024090
2121.093750, -0.056381
2132.812500, -0.088219
2144.531250, -0.119281
2156.250000, -0.149246
2167.968750, -0.177804
2179.687500, -0.204655
2191.406250, -0.229515
2203.125000, -0.252119
2214.843750, -0.272226
2226.562500, -0.289618
2238.281250, -0.304107
2250.000000, -0.315535
2261.718750, -0.323778
2273.437500, -0.328748
2285.156250, -0.330389
2296.875000, -0.328686
2308.593750, -0.323660
2320.312500, -0.315367
2332.031250, -0.303901
2343.750000, -0.289389
2355.468750, -0.271991
2367.187500, -0.251898
2378.906250, -0.229328
2390.625000, -0.204525
2402.343750, -0.177752
2414.062500, -0.149294
2425.781250, -0.119448
2437.500000, -0.088523
2449.218750, -0.056835
2460.937500, -0.024705
2472.656250, 0.007544
2484.375000, 0.039596
2496.093750, 0.071135
2507.812500, 0.101858
2519.531250, 0.131472
2531.250000, 0.159696
2542.968750, 0.186267
2554.687500, 0.210940
2566.406250, 0.233488
2578.125000, 0.253707
2589.843750, 0.271415
2601.562500, 0.286455
2613.281250, 0.298693
2625.000000, 0.308021
2636.718750, 0.314358
2648.437500, 0.317650
2660.156250, 0.317868
2671.875000, 0.315011
2683.593750, 0.309107
2695.312500, 0.300207
2707.031250, 0.288391
2718.750000, 0.273766
2730.468750, 0.256461
2742.187500, 0.236633
2753.906250, 0.214462
2765.625000, 0.190148
2777.343750, 0.163914
2789.062500, 0.136004
2800.781250, 0.106677
2812.500000, 0.076210
2824.218750, 0.044891
2835.937500, 0.013022
2847.656250, -0.019089
2859.375000, -0.051126
2871.093750, -0.082772
2882.812500, -0.113710
2894.531250, -0.143627
2906.250000, -0.172218
2917.968750, -0.199188
2929.687500, -0.224255
2941.406250, -0.247158
2953.125000, -0.267653
2964.843750, -0.285523
2976.562500, -0.300576
2988.281250, -0.312651
3000.000000, -0.321617
3011.718750, -0.327378
3023.437500, -0.329872
3035.156250, -0.329072
3046.875000, -0.324987
3058.593750, -0.317664
3070.312500, -0.307183
3082.031250, -0.293659
3093.750000, -0.277238
3105.468750, -0.258098
3117.187500, -0.236444
3128.906250, -0.212507
3140.625000, -0.186540
3152.343750, -0.158814
3164.062500, -0.129616
3175.781250, -0.099246
3187.500000, -0.068013
3199.218750, -0.036229
3210.937500, -0.004211
3222.656250, 0.027727
3234.375000, 0.059276
3246.093750, 0.090132
3257.812500, 0.120002
3269.531250, 0.148607
3281.250000, 0.175680
3292.968750, 0.200973
3304.687500, 0.224256
3316.406250, 0.245317
3328.125000, 0.263969
3339.843750, 0.280045
3351.562500, 0.293405
3363.281250, 0.303931
3375.000000, 0.311531
3386.718750, 0.316140
3398.437500, 0.317717
3410.156250, 0.316250
3421.875000, 0.311752
3433.593750, 0.304263
3445.312500, 0.293849
3457.031250, 0.280601
3468.750000, 0.264637
3480.468750, 0.246099
3492.187500, 0.225151
3503.906250, 0.201981
3515.625000, 0.176800
3527.343750, 0.149836
3539.062500, 0.121338
3550.781250, 0.091570
3562.500000, 0.060810
3574.218750, 0.029350
3585.937500, -0.002508
3597.656250, -0.034458
3609.375000, -0.066187
3621.093750, -0.097382
3632.812500, -0.127731
3644.531250, -0.156928
3656.250000, -0.184676
3667.968750, -0.210690
3679.687500, -0.234699
3691.406250, -0.256454
3703.125000, -0.275724
3714.843750, -0.292306
3726.562500, -0.306023
3738.281250, -0.316727
3750.000000, -0.324304
3761.718750, -0.328673
3773.437500, -0.329787
3785.156250, -0.327633
3796.875000, -0.322236
3808.593750, -0.313655
3820.312500, -0.301982
3832.031250, -0.287344
3843.750000, -0.269898
3855.468750, -0.249831
3867.187500, -0.227353
3878.906250, -0.202703
3890.625000, -0.176137
3902.343750, -0.147930
3914.062500, -0.118371
3925.781250, -0.087759
3937.500000, -0.056401
3949.218750, -0.024609
3960.937500, 0.007307
3972.656250, 0.039035
3984.375000, 0.070272
3996.093750, 0.100722
4007.812500, 0.130099
4019.531250, 0.158129
4031.250000, 0.184557
4042.968750, 0.209140
4054.687500, 0.231658
4066.406250, 0.251909
4078.125000, 0.269714
4089.843750, 0.284916
4101.562500, 0.297382
4113.281250, 0.307004
4125.000000, 0.313698
4136.718750, 0.317408
4148.437500, 0.318100
4160.156250, 0.315771
4171.875000, 0.310439
4183.593750, 0.302153
4195.312500, 0.290983
4207.031250, 0.277028
4218.750000, 0.260409
4230.468750, 0.241273
4242.187500, 0.219790
4253.906250, 0.196150
4265.625000, 0.170566
4277.343750, 0.143270
4289.062500, 0.114509
4300.781250, 0.084550
4312.500000, 0.053671
4324.218750, 0.022163
4335.937500, -0.009676
4347.656250, -0.041540
4359.375000, -0.073119
4371.093750, -0.104104
4382.812500, -0.134189
4394.531250, -0.163071
4406.250000, -0.190460
4417.968750, -0.216076
4429.687500, -0.239656
4441.406250, -0.260956
4453.125000, -0.279753
4464.843750, -0.295851
4476.562500, -0.309080
4488.281250, -0.319299
4500.000000, -0.326401
4511.718750, -0.330310
4523.437500, -0.330987
4535.156250, -0.328423
4546.875000, -0.322649
4558.593750, -0.313727
4570.312500, -0.301752
4582.031250, -0.286855
4593.750000, -0.269194
4605.468750, -0.248955
4617.187500, -0.226352
4628.906250, -0.201619
4640.625000, -0.175014
4652.343750, -0.146807
4664.062500, -0.117284
4675.781250, -0.086743
4687.500000, -0.055485
4699.218750, -0.023817
4710.937500, 0.007954
4722.656250, 0.039523
4734.375000, 0.070591
4746.093750, 0.100868
4757.812500, 0.130073
4769.531250, 0.157938
4781.250000, 0.184213
4792.968750, 0.208660
4804.687500, 0.231063
4816.406250, 0.251226
4828.125000, 0.268973
4839.843750, 0.284151
4851.562500, 0.296629
4863.281250, 0.306303
4875.000000, 0.313091
4886.718750, 0.316937
4898.437500, 0.317809
4910.156250, 0.315703
4921.875000, 0.310638
4933.593750, 0.302659
4945.312500, 0.291836
4957.031250, 0.278265
4968.750000, 0.262064
4980.468750, 0.243374
4992.187500, 0.222359
5003.906250, 0.199207
5015.625000, 0.174121
5027.343750, 0.147327
5039.062500, 0.119065
5050.781250, 0.089592
5062.500000, 0.059179
5074.218750, 0.028107
5085.937500, -0.003335
5097.656250, -0.034851
5109.375000, -0.066141
5121.093750, -0.096905
