Frequency (Hz), Magnitude (dB)
0.000000, -4.330470
11.718750, -4.326293
23.437500, -4.313790
35.156250, -4.293045
46.875000, -4.264194
58.593750, -4.227430
70.312500, -4.182990
82.031250, -4.131161
93.750000, -4.072269
105.468750, -4.006679
117.187500, -3.934788
128.906250, -3.857019
140.625000, -3.773820
152.343750, -3.685654
164.062500, -3.592996
175.781250, -3.496329
187.500000, -3.396139
199.218750, -3.292908
210.937500, -3.187115
222.656250, -3.079230
234.375000, -2.969710
246.093750, -2.858998
257.812500, -2.747520
269.531250, -2.635683
281.250000, -2.523874
292.968750, -2.412460
304.687500, -2.301784
316.406250, -2.192169
328.125000, -2.083911
339.843750, -1.977288
351.562500, -1.872551
363.281250, -1.769931
375.000000, -1.669635
386.718750, -1.571850
398.437500, -1.476742
410.156250, -1.384456
421.875000, -1.295115
433.593750, -1.208829
445.312500, -1.125684
457.031250, -1.045752
468.750000, -0.969087
480.468750, -0.895730
492.187500, -0.825703
503.906250, -0.759018
515.625000, -0.695672
527.343750, -0.635649
539.062500, -0.578922
550.781250, -0.525454
562.500000, -0.475196
574.218750, -0.428091
585.937500, -0.384072
597.656250, -0.343065
609.375000, -0.304989
621.093750, -0.269755
632.812500, -0.237269
644.531250, -0.207430
656.250000, -0.180136
667.968750, -0.155276
679.687500, -0.132739
691.406250, -0.112410
703.125000, -0.094172
714.843750, -0.077907
726.562500, -0.063494
738.281250, -0.050815
750.000000, -0.039748
761.718750, -0.030174
773.437500, -0.021977
785.156250, -0.015038
796.875000, -0.009245
808.593750, -0.004486
820.312500, -0.000653
832.031250, 0.002359
843.750000, 0.004650
855.468750, 0.006316
867.187500, 0.007450
878.906250, 0.008137
890.625000, 0.008459
902.343750, 0.008492
914.062500, 0.008307
925.781250, 0.007968
937.500000, 0.007534
949.218750, 0.007058
960.937500, 0.006588
972.656250, 0.006164
984.375000, 0.005823
996.093750, 0.005595
1007.812500, 0.005503
1019.531250, 0.005568
1031.250000, 0.005803
1042.968750, 0.006218
1054.687500, 0.006816
1066.406250, 0.007598
1078.125000, 0.008559
1089.843750, 0.009691
1101.562500, 0.010983
1113.281250, 0.012419
1125.000000, 0.013981
1136.718750, 0.015648
1148.437500, 0.017396
1160.156250, 0.019200
1171.875000, 0.021031
1183.593750, 0.022860
1195.312500, 0.024655
1207.031250, 0.026384
1218.750000, 0.028013
1230.468750, 0.029506
1242.187500, 0.030827
1253.906250, 0.031938
1265.625000, 0.032802
1277.343750, 0.033380
1289.062500, 0.033632
1300.781250, 0.033518
1312.500000, 0.032996
1324.218750, 0.032024
1335.937500, 0.030559
1347.656250, 0.028556
1359.375000, 0.025972
1371.093750, 0.022758
1382.812500, 0.018869
1394.531250, 0.014254
1406.250000, 0.008863
1417.968750, 0.002645
1429.687500, -0.004455
1441.406250, -0.012493
1453.125000, -0.021525
1464.843750, -0.031611
1476.562500, -0.042814
1488.281250, -0.055197
1500.000000, -0.068827
1511.718750, -0.083772
1523.437500, -0.100103
1535.156250, -0.117894
1546.875000, -0.137221
1558.593750, -0.158163
1570.312500, -0.180800
1582.031250, -0.205215
1593.750000, -0.231494
1605.468750, -0.259725
1617.187500, -0.289998
1628.906250, -0.322405
1640.625000, -0.357040
1652.343750, -0.393999
1664.062500, -0.433379
1675.781250, -0.475280
1687.500000, -0.519802
1699.218750, -0.567046
1710.937500, -0.617114
1722.656250, -0.670111
1734.375000, -0.726138
1746.093750, -0.785301
1757.812500, -0.847703
1769.531250, -0.913448
1781.250000, -0.982639
1792.968750, -1.055379
1804.687500, -1.131769
1816.406250, -1.211910
1828.125000, -1.295900
1839.843750, -1.383838
1851.562500, -1.475818
1863.281250, -1.571932
1875.000000, -1.672273
1886.718750, -1.776925
1898.437500, -1.885976
1910.156250, -1.999504
1921.875000, -2.117588
1933.593750, -2.240300
1945.312500, -2.367710
1957.031250, -2.499881
1968.750000, -2.636872
1980.468750, -2.778739
1992.187500, -2.925528
2003.906250, -3.077282
2015.625000, -3.234036
2027.343750, -3.395820
2039.062500, -3.562655
2050.781250, -3.734555
2062.500000, -3.911526
