Frequency (Hz), Magnitude (dB)
0.000000, -21.479011
11.718750, -21.495138
23.437500, -21.543707
35.156250, -21.625286
46.875000, -21.740839
58.593750, -21.891761
70.312500, -22.079918
82.031250, -22.307719
93.750000, -22.578204
105.468750, -22.895173
117.187500, -23.263358
128.906250, -23.688678
140.625000, -24.178580
152.343750, -24.742557
164.062500, -25.392911
175.781250, -26.145930
187.500000, -27.023789
199.218750, -28.057757
210.937500, -29.293980
222.656250, -30.804778
234.375000, -32.713311
246.093750, -35.256606
257.812500, -38.992567
269.531250, -45.915953
281.250000, -58.333606
292.968750, -42.437844
304.687500, -37.122867
316.406250, -33.852157
328.125000, -31.497105
339.843750, -29.670191
351.562500, -28.191754
363.281250, -26.963962
375.000000, -25.927868
386.718750, -25.045435
398.437500, -24.290911
410.156250, -23.646265
421.875000, -23.098609
433.593750, -22.638638
445.312500, -22.259673
457.031250, -21.957039
468.750000, -21.727671
480.468750, -21.569866
492.187500, -21.483148
503.906250, -21.468214
515.625000, -21.526962
527.343750, -21.662601
539.062500, -21.879860
550.781250, -22.185332
562.500000, -22.588002
574.218750, -23.100075
585.937500, -23.738291
597.656250, -24.526073
609.375000, -25.497237
621.093750, -26.702813
632.812500, -28.224726
644.531250, -30.206739
656.250000, -32.937893
667.968750, -37.153366
679.687500, -46.098703
691.406250, -47.684962
703.125000, -37.541107
714.843750, -33.006237
726.562500, -30.085497
738.281250, -27.962890
750.000000, -26.329229
761.718750, -25.034857
773.437500, -23.997022
785.156250, -23.166342
796.875000, -22.512313
808.593750, -22.016319
820.312500, -21.668088
832.031250, -21.463976
843.750000, -21.406416
855.468750, -21.504320
867.187500, -21.774606
878.906250, -22.245398
890.625000, -22.962348
902.343750, -24.001603
914.062500, -25.499223
925.781250, -27.729921
937.500000, -31.385793
949.218750, -39.387141
960.937500, -42.338636
972.656250, -31.007098
984.375000, -25.878231
996.093750, -22.427894
1007.812500, -19.786481
1019.531250, -17.628326
1031.250000, -15.795230
1042.968750, -14.198131
1054.687500, -12.781802
1066.406250, -11.509567
1078.125000, -10.355783
1089.843750, -9.301790
1101.562500, -8.333567
1113.281250, -7.440301
1125.000000, -6.613465
1136.718750, -5.846215
1148.437500, -5.132967
1160.156250, -4.469104
1171.875000, -3.850764
1183.593750, -3.274680
1195.312500, -2.738069
1207.031250, -2.238533
1218.750000, -1.773999
1230.468750, -1.342657
1242.187500, -0.942920
1253.906250, -0.573388
1265.625000, -0.232820
1277.343750, 0.079890
1289.062500, 0.365732
1300.781250, 0.625594
1312.500000, 0.860282
1324.218750, 1.070527
1335.937500, 1.256996
1347.656250, 1.420303
1359.375000, 1.561017
1371.093750, 1.679669
1382.812500, 1.776757
1394.531250, 1.852759
1406.250000, 1.908132
1417.968750, 1.943323
1429.687500, 1.958777
1441.406250, 1.954938
1453.125000, 1.932259
1464.843750, 1.891210
1476.562500, 1.832287
1488.281250, 1.756013
1500.000000, 1.662955
1511.718750, 1.553730
1523.437500, 1.429012
1535.156250, 1.289550
1546.875000, 1.136171
1558.593750, 0.969799
1570.312500, 0.791461
1582.031250, 0.602306
1593.750000, 0.403611
1605.468750, 0.196798
1617.187500, -0.016560
1628.906250, -0.234728
1640.625000, -0.455809
1652.343750, -0.677737
1664.062500, -0.898287
1675.781250, -1.115087
1687.500000, -1.325639
1699.218750, -1.527346
1710.937500, -1.717559
1722.656250, -1.893626
1734.375000, -2.052950
1746.093750, -2.193064
1757.812500, -2.311701
1769.531250, -2.406871
1781.250000, -2.476935
1792.968750, -2.520667
1804.687500, -2.537302
1816.406250, -2.526572
1828.125000, -2.488714
1839.843750, -2.424461
1851.562500, -2.335010
1863.281250, -2.221973
1875.000000, -2.087315
1886.718750, -1.933278
1898.437500, -1.762309
1910.156250, -1.576985
1921.875000, -1.379938
1933.593750, -1.173801
1945.312500, -0.961147
1957.031250, -0.744453
1968.750000, -0.526066
1980.468750, -0.308183
1992.187500, -0.092833
2003.906250, 0.118125
2015.625000, 0.323005
2027.343750, 0.520288
2039.062500, 0.708619
2050.781250, 0.886795
2062.500000, 1.053756
2074.218750, 1.208575
2085.937500, 1.350446
2097.656250, 1.478672
2109.375000, 1.592661
2121.093750, 1.691908
2132.812500, 1.775998
2144.531250, 1.844588
2156.250000, 1.897409
2167.968750, 1.934259
2179.687500, 1.954998
2191.406250, 1.959546
2203.125000, 1.947883
2214.843750, 1.920048
2226.562500, 1.876139
2238.281250, 1.816316
2250.000000, 1.740805
2261.718750, 1.649898
2273.437500, 1.543965
2285.156250, 1.423454
2296.875000, 1.288905
2308.593750, 1.140950
2320.312500, 0.980334
2332.031250, 0.807913
2343.750000, 0.624675
2355.468750, 0.431744
2367.187500, 0.230395
2378.906250, 0.022063
2390.625000, -0.191651
2402.343750, -0.408973
2414.062500, -0.627953
2425.781250, -0.846471
2437.500000, -1.062243
2449.218750, -1.272843
2460.937500, -1.475729
2472.656250, -1.668276
2484.375000, -1.847830
2496.093750, -2.011761
2507.812500, -2.157533
2519.531250, -2.282777
2531.250000, -2.385369
2542.968750, -2.463503
2554.687500, -2.515765
2566.406250, -2.541186
2578.125000, -2.539283
2589.843750, -2.510083
2601.562500, -2.454120
2613.281250, -2.372414
2625.000000, -2.266423
2636.718750, -2.137994
2648.437500, -1.989282
2660.156250, -1.822682
2671.875000, -1.640751
2683.593750, -1.446129
2695.312500, -1.241479
2707.031250, -1.029428
2718.750000, -0.812518
2730.468750, -0.593171
2742.187500, -0.373664
2753.906250, -0.156111
2765.625000, 0.057546
2777.343750, 0.265541
2789.062500, 0.466278
2800.781250, 0.658330
2812.500000, 0.840429
2824.218750, 1.011455
2835.937500, 1.170425
2847.656250, 1.316484
