Frequency (Hz), Magnitude (dB)
0.000000, -0.194051
11.718750, -0.193183
23.437500, -0.190586
35.156250, -0.186285
46.875000, -0.180319
58.593750, -0.172744
70.312500, -0.163629
82.031250, -0.153060
93.750000, -0.141132
105.468750, -0.127956
117.187500, -0.113652
128.906250, -0.098350
140.625000, -0.082191
152.343750, -0.065319
164.062500, -0.047887
175.781250, -0.030053
187.500000, -0.011975
199.218750, 0.006185
210.937500, 0.024265
222.656250, 0.042104
234.375000, 0.059545
246.093750, 0.076433
257.812500, 0.092619
269.531250, 0.107960
281.250000, 0.122321
292.968750, 0.135573
304.687500, 0.147600
316.406250, 0.158293
328.125000, 0.167556
339.843750, 0.175304
351.562500, 0.181465
363.281250, 0.185979
375.000000, 0.188801
386.718750, 0.189899
398.437500, 0.189257
410.156250, 0.186870
421.875000, 0.182752
433.593750, 0.176929
445.312500, 0.169444
457.031250, 0.160353
468.750000, 0.149727
480.468750, 0.137654
492.187500, 0.124231
503.906250, 0.109574
515.625000, 0.093807
527.343750, 0.077069
539.062500, 0.059511
550.781250, 0.041290
562.500000, 0.022578
574.218750, 0.003550
585.937500, -0.015609
597.656250, -0.034712
609.375000, -0.053565
621.093750, -0.071975
632.812500, -0.089748
644.531250, -0.106694
656.250000, -0.122623
667.968750, -0.137355
679.687500, -0.150717
691.406250, -0.162546
703.125000, -0.172691
714.843750, -0.181018
726.562500, -0.187406
738.281250, -0.191755
750.000000, -0.193984
761.718750, -0.194035
773.437500, -0.191872
785.156250, -0.187482
796.875000, -0.180879
808.593750, -0.172103
820.312500, -0.161220
832.031250, -0.148321
843.750000, -0.133525
855.468750, -0.116977
867.187500, -0.098846
878.906250, -0.079326
890.625000, -0.058636
902.343750, -0.037016
914.062500, -0.014726
925.781250, 0.007954
937.500000, 0.030726
949.218750, 0.053277
960.937500, 0.075278
972.656250, 0.096390
984.375000, 0.116261
996.093750, 0.134532
1007.812500, 0.150835
1019.531250, 0.164798
1031.250000, 0.176042
1042.968750, 0.184187
1054.687500, 0.188850
1066.406250, 0.189648
1078.125000, 0.186198
1089.843750, 0.178117
1101.562500, 0.165024
1113.281250, 0.146541
1125.000000, 0.122290
1136.718750, 0.091897
1148.437500, 0.054992
1160.156250, 0.011206
1171.875000, -0.039828
1183.593750, -0.098473
1195.312500, -0.165091
1207.031250, -0.240042
1218.750000, -0.323687
1230.468750, -0.416384
1242.187500, -0.518494
1253.906250, -0.630377
1265.625000, -0.752398
1277.343750, -0.884922
1289.062500, -1.028323
1300.781250, -1.182976
1312.500000, -1.349267
1324.218750, -1.527589
1335.937500, -1.718345
1347.656250, -1.921950
1359.375000, -2.138834
1371.093750, -2.369443
1382.812500, -2.614240
1394.531250, -2.873711
1406.250000, -3.148364
1417.968750, -3.438737
1429.687500, -3.745395
1441.406250, -4.068940
1453.125000, -4.410015
1464.843750, -4.769305
1476.562500, -5.147546
1488.281250, -5.545533
1500.000000, -5.964127
1511.718750, -6.404260
1523.437500, -6.866955
1535.156250, -7.353330
1546.875000, -7.864618
